PMID,Abstract
40715263,"1. Sci Rep. 2025 Jul 25;15(1):27086. doi: 10.1038/s41598-025-09417-w.

Single nucleus RNA sequencing profile analysis to reveal cell type specific 
common molecular drivers of Parkinson's disease and therapeutic agents.

Pappu MAA(1), Alamin M(2), Sultana MH(3), Azad A(4)(5), Auwul MR(6), Mahmud 
S(1), Ajadee A(1), Sarker A(1), Alyami SA(4)(5), Mollah MNH(7).

Author information:
(1)Bioinformatics Lab (Dry), Department of Statistics, University of Rajshahi, 
Rajshahi, 6205, Bangladesh.
(2)Department of Mathematics and Physics, School of Engineering & Physical 
Sciences, North South University, Dhaka, 1229, Bangladesh. 
md.alamin06@northsouth.edu.
(3)Department of Mathematics and Physics, School of Engineering & Physical 
Sciences, North South University, Dhaka, 1229, Bangladesh.
(4)Department of Mathematics and Statistics, College of Science, Imam Mohammad 
Ibn Saud Islamic University (IMSIU), 13318, Riyadh, Saudi Arabia.
(5)King Salman Center for Disability Research, 11614, Riyadh, Saudi Arabia.
(6)Department of Statistics, Gazipur Agricultural University, Gazipur, Dhaka, 
Bangladesh.
(7)Bioinformatics Lab (Dry), Department of Statistics, University of Rajshahi, 
Rajshahi, 6205, Bangladesh. mollah.stat.bio@ru.ac.bd.

Parkinson's disease (PD) is the second most prevalent neurodegenerative 
disorder, characterized by progressive motor and cognitive decline, leading to 
long-term disability and significantly impacting quality of life. While PD 
research has traditionally focused on dopaminergic neurons in the substantia 
nigra (SN), emerging evidence also suggests glial involvement in disease 
progression. So, this study explored PD-associated key genes from neuronal and 
glial cell types to uncover pathogenetic mechanisms and potential therapeutics 
by employing single-nucleus RNA sequencing (snRNA-seq) data from the accession 
number GSE184950. A total of 426,886 nuclei were analyzed, yielding 129,473 
high-quality nuclei. Through rigorous quality control, clustering, and marker 
gene analysis using scVI and Scanpy, nine distinct cell types were delineated, 
including neurons, astrocytes, and microglia. 18 common differentially expressed 
genes (cDEGs) were identified across neuronal and glial cell types. Gene 
ontology (GO) and KEGG enrichment analyses revealed key terms associated with 
neurodegeneration, including PD. A total of six critical KGs, including HSPA1A, 
DNAJB1, BAG3, SYN1, CALB2, and NEFL, along with their key regulators, were 
identified by the protein-protein interaction network. Finally, three repurposed 
drugs (Celastrol, Withaferin-A, and Apomorphine) were suggested as the 
therapeutics agents for PD by molecular docking. In-silico ADME/T analyses were 
conducted using pkCSM and SwissADME to evaluate the pharmacokinetic properties 
of these compounds. These findings could shed light on PD mechanisms and hold 
promise for advancing diagnostics and therapies.

© 2025. The Author(s).

DOI: 10.1038/s41598-025-09417-w
PMCID: PMC12297339
PMID: 40715263 [Indexed for MEDLINE]

Conflict of interest statement: Declarations. Competing interests: The authors 
declare no competing interests."
40711937,"1. Assay Drug Dev Technol. 2025 Aug-Sep;23(6):324-331. doi: 
10.1177/1540658X251361263. Epub 2025 Jul 21.

Drug Repurposing Patent Applications October-December 2024.

Mucke HAM(1).

Author information:
(1)H.M. Pharma Consultancy, Wien, Austria.

Here, we briefly discuss 17 PCT patent applications related to drug repurposing 
that were published during the final quarter of 2024. As always, we have chosen 
the documents based on significance only, which gave us a wide range of 
applicants, active agents, and geographic representation. Applicants are not 
only from the United States and China but also from Japan, Germany, the United 
Kingdom, Canada, and even remote places such as Algeria and Iceland. 
Significantly, the contribution from Iceland is how to induce therapeutic 
hypothermia-but with entacapone, used in Parkinson's disease. The UK company, 
HealX, presents data showing that Angelman syndrome, an intractable 
neurodevelopmental disorder, could be treated with the common NSAID sulindac. 
Gliclazide, an old antidiabetic, could potentially treat schizophrenia, as 
inventors from Chinese Ping An-Shionogi report. These are only a few highlights 
from the stream of documents that have been issued towards the end of 2024.

DOI: 10.1177/1540658X251361263
PMID: 40711937 [Indexed for MEDLINE]"
40663664,"1. IEEE J Biomed Health Inform. 2025 Jul 15;PP. doi: 10.1109/JBHI.2025.3589290. 
Online ahead of print.

A Hierarchical Attention-based Negative Sampling Method for Drug Repositioning 
Using Neighborhood Interaction Fusion.

Mi C, Dai L, Shang J, Zhu R, Wang J, Li F.

Accurate prediction of drug-disease associations (DDAs) is essential for drug 
repositioning and the development of novel therapeutic strategies. However, 
existing methods often suffer from limited prior knowledge and the use of 
oversimplified negative sampling techniques, which hinder their ability to 
capture the complex relationships between drugs and diseases. To break through 
these limitations, we propose a new model, Hierarchical Attention 
Mechanism-Based Negative Sampling (HA-NegS), which aims to enhance the 
prediction of potential DDAs. In this study, HA-NegS further computes the 
similarity information between drugs and diseases and constructs heterogeneous 
and homogeneous networks based on it. For the similarity network, HA-NegS fuses 
Graph Convolutional Network (GCN) and Graph Attention Network (GAT) to 
effectively capture the neighborhood features of the target nodes. Subsequently, 
the model incorporates a hierarchical sampling strategy using the PageRank 
algorithm to rank nodes in descending order of global importance. The attention 
mechanism is then used to calculate the attention score and re-rank the nodes 
accordingly. This approach ensures the reliability of the negative sample 
selection. In order to obtain optimized representations, we use graph 
contrastive learning methods to refine drug and disease features with 
homogeneous and heterogeneous neighborhood information. Experimental results on 
a benchmark dataset show that HA-NegS outperforms existing baseline methods in 
predicting DDA. In addition, case studies for Alzheimer's disease and 
Parkinson's disease highlight the effectiveness of HA-NegS in discovering new 
therapeutic applications for existing drugs.

DOI: 10.1109/JBHI.2025.3589290
PMID: 40663664"
40644656,"1. Neurology. 2025 Aug 12;105(3):e213783. doi: 10.1212/WNL.0000000000213783. Epub
 2025 Jul 11.

Association of Medication Use and 8-Year Mortality Risk in Patients With 
Parkinson Disease: Drug-Wide Trial Emulation.

Tuominen JA(1), Riise T(1), Romanowska J(1), Flores-Torres MH(2)(3), Cortese 
M(3), Scherzer CR(4)(5)(6)(7), Bjornevik K(2)(3), Igland J(1).

Author information:
(1)Department of Global Public Health and Primary Care, University of Bergen, 
Norway.
(2)Department of Epidemiology, Harvard T.H. Chan School of Public Health, 
Boston, MA.
(3)Department of Nutrition, Harvard T.H. Chan School of Public Health, Boston, 
MA.
(4)Stephen and Denise Adams Center for Parkinson's Disease Research, Yale School 
of Medicine, New Haven, CT.
(5)Department of Neuroscience, Yale School of Medicine, New Haven, CT.
(6)Department of Neurology, Yale School of Medicine, New Haven, CT; and.
(7)Department of Genetics, Yale School of Medicine, New Haven, CT.

Comment in
    doi: 10.1212/WNL.0000000000213972.

Comment in
    Neurology. 105:e213972.

BACKGROUND AND OBJECTIVES: There are currently no treatments that can halt or 
slow the progression of Parkinson disease (PD). The aim of this study was to 
identify new drug repurposing candidates for PD among existing prescription 
drugs that could be used to modify the disease course.
METHODS: This nationwide observational cohort study (2004-2020) used Norwegian 
health registries and was conducted as a high-throughput drug screen using an 
emulated target trial design. All individuals who met our prescription-based 
classification criteria for PD, were older than 25 years at the time of 
diagnosis, and were not prescribed the target drug in the past 2 years were 
included. We emulated a target trial for any drug filled by a minimum of 100 
individuals at any pharmacy in Norway, which amounted to a total of 219 drugs. 
Mortality was used as an outcome to indicate disease progression. We estimated 
the effect of drug initiation, an observational analog of the intention-to-treat 
effect, on the 8-year risk of death, comparing initiators of the target drug 
with initiators of drugs within the same Anatomical Therapeutic Chemical 
classification system level 1 group. Inverse probability of treatment weighting 
was used to adjust for potential confounders.
RESULTS: The study included 14,289 individuals with PD (mean age 72 at 
diagnosis, 59% male) and identified 23 drugs associated with reduced mortality 
risk at 8 years. These drugs included ranitidine (histamine-2 blocker); 
pantoprazole and esomeprazole (proton pump inhibitors); losartan (angiotensin 
receptor blocker); atorvastatin (for high cholesterol); tadalafil (for erectile 
dysfunction); levothyroxine sodium (thyroid hormone); phenoxymethylpenicillin, 
erythromycin, and azithromycin (antibiotics); 4 nonsteroidal anti-inflammatory 
drugs; combined codeine/paracetamol and tramadol (opioid analgesics); zopiclone 
and melatonin (sleep aids); mianserin (antidepressant); mometasone (nasal 
corticosteroid); 2 opium-derived cough medicines; and dexamethasone 
(ophthalmologic corticosteroid).
DISCUSSION: Our study identified several drugs with potential disease-modifying 
properties that could be candidates for future clinical trials. It highlights 
the potential of repurposing existing medications to advance drug development. 
While these findings are exploratory and, therefore, insufficient to justify 
immediate clinical application, they warrant further investigation and potential 
inclusion in clinical trials.

DOI: 10.1212/WNL.0000000000213783
PMCID: PMC12264975
PMID: 40644656 [Indexed for MEDLINE]

Conflict of interest statement: C.R. Scherzer's work is supported by NIH grants 
National Institute of Neurological Disorders and Stroke/National Institute on 
Aging R01NS115144, the US Department of Defense, the American PD Association 
Yale Center for Advanced Parkinson Research, the Rosenbaum PD Drug Development 
Program, the Lineberger Research Fund, and the Stephen & Denise Adams Center for 
Parkinson's Disease Research of Yale School of Medicine. All other authors 
report no relevant disclosures. Go to Neurology.org/N for full disclosures."
40644655,"1. Neurology. 2025 Aug 12;105(3):e213972. doi: 10.1212/WNL.0000000000213972. Epub
 2025 Jul 11.

It Is Time for Drug Repurposing in Parkinson Disease.

Colosimo C(1), Marsili L(2).

Author information:
(1)Department of Neurology, Santa Maria University Hospital, Terni, Italy; and.
(2)Department of Neurology, James J. and Joan A. Gardner Center for Parkinson's 
Disease and Movement Disorders, University of Cincinnati, OH.

DOI: 10.1212/WNL.0000000000213972
PMID: 40644655"
40565142,"1. Int J Mol Sci. 2025 Jun 13;26(12):5680. doi: 10.3390/ijms26125680.

The Anti-Parkinsonian A2A Receptor Antagonist Istradefylline (KW-6002) 
Attenuates Behavioral Abnormalities, Neuroinflammation, and Neurodegeneration in 
Cerebral Ischemia: An Adenosinergic Signaling Link Between Stroke and 
Parkinson's Disease.

Zaki MG(1), Jakova E(1), Pordeli M(1), Setork E(2), Taghibiglou C(2), Cayabyab 
FS(1).

Author information:
(1)Department of Surgery, Neuroscience Research Cluster, College of Medicine, 
University of Saskatchewan, 107 Wiggins Road, Saskatoon, SK S7N 5E5, Canada.
(2)Department of Anatomy, Physiology and Pharmacology, University of 
Saskatchewan, 107 Wiggins Road, Saskatoon, SK S7N 5E5, Canada.

Stroke, the third leading cause of death worldwide, is a major cause of 
functional disability. Cerebral ischemia causes a rapid elevation of adenosine, 
the main neuromodulator in the brain. The inhibition of adenosine A2A receptors 
(A2ARs) has been introduced as a potential target in neurodegenerative disorders 
involving extracellular adenosine elevation. Istradefylline, a selective A2AR 
antagonist, has been approved for Parkinson's disease (PD) adjunctive therapy 
and showed neuroprotective effects in PD and Alzheimer's disease. However, the 
role of A2ARs in post-stroke neuronal damage and behavioral deficits remains 
unclear. We recently showed that A2AR antagonism prevented the adenosine-induced 
post-hypoxia synaptic potentiation of glutamatergic neurotransmission following 
the hypoxia/reperfusion of hippocampal slices. Here, we investigated the 
potential neuroprotective effects of istradefylline in male Sprague-Dawley rats 
subjected to pial vessel disruption (PVD) used to model a small-vessel stroke. 
Rats were treated with either a vehicle control or istradefylline (3 mg/kg i.p.) 
following PVD surgery for three days. Istradefylline administration prevented 
anxiety and depressive-like behaviors caused by PVD stroke. In addition, 
istradefylline significantly attenuated ischemia-induced cognitive impairment 
and motor deficits. Moreover, istradefylline markedly reduced hippocampal 
neurodegeneration, as well as GFAP/Iba-1, TNF-α, nNOS, and iNOS levels after 
PVD, but prevented the downregulation of anti-inflammatory markers TGF-β1 and 
IL-4. Together, these results suggest a molecular link between stroke and PD and 
that the anti-PD drug istradefylline displays translational potential for drug 
repurposing as a neuroprotective agent for cerebral ischemic damage.

DOI: 10.3390/ijms26125680
PMCID: PMC12193193
PMID: 40565142 [Indexed for MEDLINE]

Conflict of interest statement: The authors have no relevant financial or 
non-financial interests to disclose."
40549317,"1. Inflammopharmacology. 2025 Jul;33(7):3805-3822. doi:
10.1007/s10787-025-01805-y.  Epub 2025 Jun 23.

Repurposing Saroglitazar for neurodegenerative disorders: insight into molecular 
signalling pathways and neuroprotective modulations.

Kushawaha SK(1), Kumar H(2), Chauhan C(2), Chaudhary S(2), Ashawat MS(3).

Author information:
(1)Department of Pharmacology, Laureate Institute of Pharmacy, District Kangra, 
Kathog, Himachal Pradesh, 176031, India. shiv.kushawaha@gmail.com.
(2)Department of Pharmacology, Laureate Institute of Pharmacy, District Kangra, 
Kathog, Himachal Pradesh, 176031, India.
(3)Department of Pharmaceutics, Laureate Institute of Pharmacy, District Kangra, 
Kathog, Himachal Pradesh, 176031, India.

Drug repurposing has emerged as a cost-efficient strategy for neurodegenerative 
disorders (NDDs), leveraging existing preclinical, safety, and tolerability data 
to identify therapeutic candidates. NDDs, including epilepsy, Parkinson's 
disease (PD), Alzheimer's disease (AD), and traumatic brain injury (TBI), are 
characterized by neuroinflammation, oxidative stress, and neuronal degeneration, 
with key signaling pathways such as HMGB1, TRPA1, NF-κB, MAPK, and 
PI3K/Akt-GSK3β playing pivotal roles in their pathogenesis. Given the 
established link between type 2 diabetes mellitus and neurodegeneration, 
Saroglitazar, a dual PPAR-α/γ agonist, holds promise in modulating insulin 
signaling, oxidative stress, neuroinflammation, and key pathways, including 
HMGB1, TRPA1, NF-κB, MAPK, and PI3K/Akt-GSK3β. This is the first comprehensive 
review to examine the effects of Saroglitazar in modulating multiple pathways 
associated with NDDs, thereby addressing existing gaps in the literature. The 
review explores the mechanistic interplay among these pathways and emphasizes 
the potential of Saroglitazar as a neuroprotective agent, highlighting the need 
for further studies to validate its clinical efficacy and disease-modifying 
capabilities in NDDs. All supporting data were obtained from peer-reviewed 
literature accessed via PubMed, Web of Science, and Scopus.

© 2025. The Author(s), under exclusive licence to Springer Nature Switzerland 
AG.

DOI: 10.1007/s10787-025-01805-y
PMID: 40549317 [Indexed for MEDLINE]

Conflict of interest statement: Declarations. Conflict of interest: The authors 
declare no competing interest. Ethical approval: Not applicable. Consent for 
publication: Not applicable. Clinical trial number: Not applicable."
40514362,"1. NPJ Parkinsons Dis. 2025 Jun 13;11(1):167. doi: 10.1038/s41531-025-01027-7.

Repurposing the memory-promoting meclofenoxate hydrochloride as a treatment for 
Parkinson's disease through integrative multi-omics analysis.

Zhang H(#)(1)(2)(3), Fan C(#)(1), Li L(1), Liu F(1), Li S(1), Ma L(1), Yang 
Y(4)(5), Cooper DN(6), Yang Y(7), Hu R(8)(9)(10), Zhao H(11).

Author information:
(1)Department of Medical Research Center, Guangdong Provincial Key Laboratory of 
Malignant Tumor Epigenetics and Gene Regulation, Sun Yat-sen Memorial Hospital, 
Sun Yat-sen University, Guangzhou, China.
(2)Department of Otolaryngology; Guangdong Provincial Key Laboratory of Major 
Obstetric Diseases; Guangdong Provincial Clinical Research Center for Obstetrics 
and Gynecology, Third Affiliated Hospital, Guangzhou Medical University, 
Guangzhou, China.
(3)Department of Otolaryngology, Shenzhen Longgang Otolaryngology hospital& 
Shenzhen Otolaryngology Research Institute, Shenzhen, China.
(4)Mater Research, Translational Research Institute, Brisbane, QLD, Australia.
(5)Institute for Molecular Bioscience, The University of Queensland, Brisbane, 
QLD, Australia.
(6)Institute of Medical Genetics, School of Medicine, Cardiff University, Heath 
Park, UK.
(7)School of Data and Computer Science, Sun Yat-sen University, Guangzhou, 
China. Yangyd25@mail.sysu.edu.cn.
(8)State Key Laboratory of Molecular Biology, Center for Excellence in Molecular 
Cell Science, Shanghai Institute of Biochemistry and Cell Biology, Chinese 
Academy of Sciences, Shanghai, China. coryhu@sibcb.ac.cn.
(9)University of Chinese Academy of Sciences, Beijing, China. 
coryhu@sibcb.ac.cn.
(10)School of Life Science, Hangzhou Institute for Advance Study, University of 
Chinese Academy of Sciences, Hangzhou, China. coryhu@sibcb.ac.cn.
(11)Department of Medical Research Center, Guangdong Provincial Key Laboratory 
of Malignant Tumor Epigenetics and Gene Regulation, Sun Yat-sen Memorial 
Hospital, Sun Yat-sen University, Guangzhou, China. zhaohy8@mail.sysu.edu.cn.
(#)Contributed equally

Parkinson's disease (PD) is a devastating neurodegenerative disorder with 
growing prevalence worldwide and, as yet, no effective treatment. Drug 
repurposing is invaluable for detecting novel PD therapeutics. Here, we compiled 
gene expression data from 1231 healthy human brain samples and 357 samples 
across tissues, ethnicities, brain regions, Braak stages, and disease status. By 
integrating them with multiple-source genomic data, we found a PD-associated 
gene co-expression module, and its alignment with the CMAP database successfully 
identified drug candidates. Among these, meclofenoxate hydrochloride (MH) and 
sodium phenylbutyrate (SP) are indicated to be able to prevent mitochondrial 
destruction, reduce lipid peroxidation, and protect dopamine synthesis. MH was 
validated to prevent neuronal death and synaptic damage, improve motor function, 
and reduce anhedonic and depressive-like behaviors of PD mice. The interaction 
of MH with a PD-related protein, sigma1, was confirmed experimentally. Thus, our 
findings support that MH potentially ameliorates PD by interacting with sigma1.

© 2025. The Author(s).

DOI: 10.1038/s41531-025-01027-7
PMCID: PMC12166093
PMID: 40514362

Conflict of interest statement: Competing interests: The authors declare no 
competing interests."
40392924,"1. PLoS One. 2025 May 20;20(5):e0323761. doi: 10.1371/journal.pone.0323761. 
eCollection 2025.

Amphetamine use and Parkinson's disease: integration of artificial intelligence 
prediction, clinical corroboration, and mechanism of action analyses.

Gorenflo MP(1)(2), Gao Z(1), Davis PB(3), Kaelber D(4), Xu R(1).

Author information:
(1)Center for Artificial Intelligence in Drug Discovery, School of Medicine, 
Case Western Reserve University, Cleveland, Ohio, United States of America.
(2)Cleveland Clinic Lerner College of Medicine, Case Western Reserve University, 
Cleveland, Ohio, United States of America.
(3)Center for Community Health Integration, Case Western Reserve University 
School of Medicine, Euclid Avenue, Cleveland, Ohio, United States of America.
(4)Center for Clinical Informatics Research and Education, The MetroHealth 
System, MetroHealth Drive, Cleveland, Ohio, United States of America.

Parkinson's disease (PD) is an increasingly prevalent neurologic condition for 
which symptomatic, but not preventative, treatment is available. Drug 
repurposing is an innovate drug discovery method that uncovers existing 
therapeutics to treat or prevent conditions for which they are not currently 
indicated, a method that could be applied to incurable diseases such as PD. A 
knowledge graph artificial intelligence prediction system was used to select 
potential drugs that could be used to treat or prevent PD, and amphetamine was 
identified as the strongest candidate. Retrospective cohort analysis on a large, 
electronic health record database of deidentified patients with attention 
deficit hyperactive disorder (the main diagnosis for which amphetamine is 
prescribed) revealed a significantly reduced hazard of developing PD in patients 
prescribed amphetamine versus patients not prescribed amphetamine at 2, 4, and 6 
years: Hazard Ratio (95% Confidence Interval) = 0.59 (0.36, 0.98), 0.63 (0.42, 
0.93), and 0.55 (0.38, 0.79). Pathway enrichment analysis confirmed that 
amphetamine targets many of the biochemical processes implicated in PD, such as 
dopaminergic synapses and neurodegeneration. Together, these observational 
findings suggest that therapeutic and legal amphetamine use may reduce the risk 
of developing PD, in contrast to previous work that found the inverse 
relationship in patients using amphetamine recreationally.

Copyright: © 2025 Gorenflo et al. This is an open access article distributed 
under the terms of the Creative Commons Attribution License, which permits 
unrestricted use, distribution, and reproduction in any medium, provided the 
original author and source are credited.

DOI: 10.1371/journal.pone.0323761
PMCID: PMC12091834
PMID: 40392924 [Indexed for MEDLINE]

Conflict of interest statement: The authors have declared that no competing 
interests exist."
40362692,"1. Int J Mol Sci. 2025 May 7;26(9):4453. doi: 10.3390/ijms26094453.

A Multi-Modal Graph Neural Network Framework for Parkinson's Disease Therapeutic 
Discovery.

Akgüller Ö(1), Balcı MA(1), Cioca G(2).

Author information:
(1)Faculty of Science, Department of Mathematics, Mugla Sitki Kocman University, 
Mugla 48000, Turkey.
(2)Faculty of Medicine, Preclinical Department, Lucian Blaga University of 
Sibiu, 550024 Sibiu, Romania.

Parkinson's disease (PD) is a complex neurodegenerative disorder lacking 
effective disease-modifying treatments. In this study, we integrated large-scale 
protein-protein interaction networks with a multi-modal graph neural network 
(GNN) to identify and prioritize multi-target drug repurposing candidates for 
PD. Network analysis and advanced clustering methods delineated functional 
modules, and a novel Functional Centrality Index was employed to pinpoint key 
nodes within the PD interactome. The GNN model, incorporating molecular 
descriptors, network topology, and uncertainty quantification, predicted 
candidate drugs that simultaneously target critical proteins implicated in 
lysosomal dysfunction, mitochondrial impairment, synaptic disruption, and 
neuroinflammation. Among the top hits were compounds such as dithiazanine, 
ceftolozane, DL-α-tocopherol, bromisoval, imidurea, medronic acid, and 
modufolin. These findings provide mechanistic insights into PD pathology and 
demonstrate that a polypharmacology approach can reveal repurposing 
opportunities for existing drugs. Our results highlight the potential of 
network-based deep learning frameworks to accelerate the discovery of 
multi-target therapies for PD and other multifactorial neurodegenerative 
diseases.

DOI: 10.3390/ijms26094453
PMCID: PMC12072649
PMID: 40362692 [Indexed for MEDLINE]

Conflict of interest statement: The authors declare no conflicts of interest."
